scope,feature,fold_count,mean_standardized_coefficient,sign,mean_absolute_magnitude,positive_fold_fraction,negative_fold_fraction
aggregate,xz_mom24_lag_13,17,-5.728817174492994e-06,negative,7.617525755581745e-05,0.47058823529411764,0.5294117647058824
aggregate,xr_mom24_lag_13,17,-0.0002162832354224796,negative,0.0002162832354224796,0.0,1.0
aggregate,carry_annual_lag_13,17,-0.0032096498716639404,negative,0.0032096498716639404,0.0,1.0
aggregate,xz_carry_lag_13,17,0.0011893226820285515,positive,0.0012196022624548382,0.8823529411764706,0.11764705882352941
aggregate,log_return_lag_12,17,-0.002158520997486091,negative,0.002158520997486091,0.0,1.0
aggregate,volatility_lag_12,17,0.0009497898246663602,positive,0.0009497898246663602,1.0,0.0
aggregate,sma20_ratio_lag_12,17,0.0004649932274952893,positive,0.002114326089371267,0.11764705882352941,0.8823529411764706
aggregate,mom24_lag_12,17,-0.000179026459096167,negative,0.00024516919305504715,0.17647058823529413,0.8235294117647058
aggregate,xz_mom24_lag_12,17,8.588901740891324e-05,positive,9.405908672973863e-05,0.8823529411764706,0.11764705882352941
aggregate,xr_mom24_lag_12,17,6.054986570101519e-05,positive,7.205834010202614e-05,0.7058823529411765,0.29411764705882354
aggregate,carry_annual_lag_12,17,0.0003568946097981141,positive,0.0010502009540150122,0.8823529411764706,0.11764705882352941
aggregate,xz_carry_lag_12,17,-0.0013858278375995737,negative,0.001484260240927962,0.11764705882352941,0.8823529411764706
aggregate,log_return_lag_11,17,-0.001947265874779484,negative,0.0022612343085325077,0.058823529411764705,0.9411764705882353
aggregate,volatility_lag_11,17,-0.0005423309440543415,negative,0.0005423309440543415,0.0,1.0
aggregate,sma20_ratio_lag_11,17,0.002376369264417565,positive,0.003638451554130562,0.9411764705882353,0.058823529411764705
aggregate,mom24_lag_11,17,-0.00036694284293830145,negative,0.0004977731681485929,0.058823529411764705,0.9411764705882353
aggregate,xz_mom24_lag_11,17,-0.00012879456216782485,negative,0.00013014320785315495,0.058823529411764705,0.9411764705882353
aggregate,xr_mom24_lag_11,17,1.934410468522389e-05,positive,2.7175435140089176e-05,0.7647058823529411,0.23529411764705882
aggregate,carry_annual_lag_11,17,0.006725509926806519,positive,0.006725509926806519,1.0,0.0
aggregate,xz_carry_lag_11,17,-0.004480215161379666,negative,0.004554470046447911,0.17647058823529413,0.8235294117647058
aggregate,log_return_lag_10,17,-0.0010546197065667924,negative,0.0010546197065667924,0.0,1.0
aggregate,volatility_lag_10,17,-0.00013545552766980624,negative,0.0002066176033650817,0.17647058823529413,0.8235294117647058
aggregate,sma20_ratio_lag_10,17,0.004963119630312196,positive,0.004995776987477246,0.9411764705882353,0.058823529411764705
aggregate,mom24_lag_10,17,-0.00013953869176935925,negative,0.00029865329345819315,0.058823529411764705,0.9411764705882353
aggregate,xz_mom24_lag_10,17,-6.327933576595687e-05,negative,0.00012049446810578442,0.11764705882352941,0.8823529411764706
aggregate,xr_mom24_lag_10,17,-6.928699121935997e-05,negative,7.156155621426969e-05,0.17647058823529413,0.8235294117647058
aggregate,carry_annual_lag_10,17,0.0001276495162168675,positive,0.0009507163143673532,0.8235294117647058,0.17647058823529413
aggregate,xz_carry_lag_10,17,0.0015573356457095422,positive,0.0018757526378765433,0.7647058823529411,0.23529411764705882
aggregate,log_return_lag_9,17,0.0012486323067541997,positive,0.001447566484016526,0.9411764705882353,0.058823529411764705
aggregate,volatility_lag_9,17,1.4994141953328269e-05,positive,0.00031749602010341645,0.11764705882352941,0.8823529411764706
aggregate,sma20_ratio_lag_9,17,0.0013269639008660558,positive,0.0013269639008660558,1.0,0.0
aggregate,mom24_lag_9,17,0.00020006423308044632,positive,0.00024041410214888282,0.7058823529411765,0.29411764705882354
aggregate,xz_mom24_lag_9,17,0.00031361862520502696,positive,0.00031361862520502696,1.0,0.0
aggregate,xr_mom24_lag_9,17,-7.069636751630663e-05,negative,8.224225541106037e-05,0.058823529411764705,0.9411764705882353
aggregate,carry_annual_lag_9,17,-0.004363511842393089,negative,0.004363511842393089,0.0,1.0
aggregate,xz_carry_lag_9,17,0.0022074063538025696,positive,0.0023453584192434825,0.7647058823529411,0.23529411764705882
aggregate,log_return_lag_8,17,0.002028407983594046,positive,0.0020910284560542373,0.9411764705882353,0.058823529411764705
aggregate,volatility_lag_8,17,0.00025926852325969886,positive,0.0003978333882870493,0.8823529411764706,0.11764705882352941
aggregate,sma20_ratio_lag_8,17,-0.004776232431268246,negative,0.004776232431268246,0.0,1.0
aggregate,mom24_lag_8,17,-0.0003339610813531327,negative,0.0005072923464755584,0.11764705882352941,0.8823529411764706
aggregate,xz_mom24_lag_8,17,0.0001632028086578573,positive,0.00017581671642239732,0.9411764705882353,0.058823529411764705
aggregate,xr_mom24_lag_8,17,-0.0001090080226949179,negative,0.0001090080226949179,0.0,1.0
aggregate,carry_annual_lag_8,17,0.0014723918714278034,positive,0.0017967676019833238,0.9411764705882353,0.058823529411764705
aggregate,xz_carry_lag_8,17,-0.0009425730912363368,negative,0.0016565696677002006,0.058823529411764705,0.9411764705882353
aggregate,log_return_lag_7,17,1.750583570589896e-05,positive,0.0006208124971502042,0.5882352941176471,0.4117647058823529
aggregate,volatility_lag_7,17,-0.0007746829116826715,negative,0.0008050760459160613,0.058823529411764705,0.9411764705882353
aggregate,sma20_ratio_lag_7,17,-0.0006366838381484144,negative,0.0008990309797549697,0.4117647058823529,0.5882352941176471
aggregate,mom24_lag_7,17,-0.0003601841518772907,negative,0.00042540241376728277,0.058823529411764705,0.9411764705882353
aggregate,xz_mom24_lag_7,17,-0.0003519591679340083,negative,0.0003519591679340083,0.0,1.0
aggregate,xr_mom24_lag_7,17,0.00014652630793528696,positive,0.00014652630793528696,1.0,0.0
aggregate,carry_annual_lag_7,17,-0.0012965510554197952,negative,0.0015180357020747825,0.29411764705882354,0.7058823529411765
aggregate,xz_carry_lag_7,17,0.0007217717643674542,positive,0.0008880508997738462,0.5882352941176471,0.4117647058823529
aggregate,log_return_lag_6,17,-0.0002687420992590974,negative,0.0006638155673161592,0.5294117647058824,0.47058823529411764
aggregate,volatility_lag_6,17,0.00043894694814441217,positive,0.0007480860354433851,0.9411764705882353,0.058823529411764705
aggregate,sma20_ratio_lag_6,17,0.0064371667661684605,positive,0.0064371667661684605,1.0,0.0
aggregate,mom24_lag_6,17,-0.0004678688150172021,negative,0.0004678688150172021,0.0,1.0
aggregate,xz_mom24_lag_6,17,-0.00016896474113594536,negative,0.0001868273540430478,0.11764705882352941,0.8823529411764706
aggregate,xr_mom24_lag_6,17,0.00012071708595291867,positive,0.00012071708595291867,1.0,0.0
aggregate,carry_annual_lag_6,17,0.004397713691794439,positive,0.004397713691794439,1.0,0.0
aggregate,xz_carry_lag_6,17,-0.002323085084728438,negative,0.0026692140196560503,0.47058823529411764,0.5294117647058824
aggregate,log_return_lag_5,17,0.00260329003391377,positive,0.0029290260136460382,0.9411764705882353,0.058823529411764705
aggregate,volatility_lag_5,17,0.0001557199253473949,positive,0.0003100759509720552,0.47058823529411764,0.5294117647058824
aggregate,sma20_ratio_lag_5,17,-0.00436149712067127,negative,0.0059290844861064895,0.058823529411764705,0.9411764705882353
aggregate,mom24_lag_5,17,-6.265944633513851e-05,negative,0.00022732459916217316,0.7058823529411765,0.29411764705882354
aggregate,xz_mom24_lag_5,17,0.0004335763902478283,positive,0.0004335763902478283,1.0,0.0
aggregate,xr_mom24_lag_5,17,-3.192280868263288e-05,negative,4.65270552817841e-05,0.35294117647058826,0.6470588235294118
aggregate,carry_annual_lag_5,17,-0.0011144336562891178,negative,0.00112418892452715,0.058823529411764705,0.9411764705882353
aggregate,xz_carry_lag_5,17,0.002978731484491761,positive,0.0034331338616939537,0.5294117647058824,0.47058823529411764
aggregate,log_return_lag_4,17,0.0008788037855266016,positive,0.0008788037855266016,1.0,0.0
aggregate,volatility_lag_4,17,-0.0006069006262634046,negative,0.0006195543814632205,0.35294117647058826,0.6470588235294118
aggregate,sma20_ratio_lag_4,17,0.0008871273835052122,positive,0.0010095928384803022,0.7058823529411765,0.29411764705882354
aggregate,mom24_lag_4,17,0.0006047676909024638,positive,0.0006442441610190522,0.9411764705882353,0.058823529411764705
aggregate,xz_mom24_lag_4,17,-0.00023112406225542117,negative,0.00023397108967370452,0.058823529411764705,0.9411764705882353
aggregate,xr_mom24_lag_4,17,-0.00010770314759204817,negative,0.00013979644197721885,0.11764705882352941,0.8823529411764706
aggregate,carry_annual_lag_4,17,-0.0028225840823140657,negative,0.0028225840823140657,0.0,1.0
aggregate,xz_carry_lag_4,17,-0.005139678258557247,negative,0.005288892226787731,0.058823529411764705,0.9411764705882353
aggregate,log_return_lag_3,17,0.0014815001298549805,positive,0.0014815001298549805,1.0,0.0
aggregate,volatility_lag_3,17,0.0011861408046018236,positive,0.0011861408046018236,1.0,0.0
aggregate,sma20_ratio_lag_3,17,-0.0021669309862036973,negative,0.0021669309862036973,0.0,1.0
aggregate,mom24_lag_3,17,0.0006315313541784186,positive,0.0006641788837422994,0.9411764705882353,0.058823529411764705
aggregate,xz_mom24_lag_3,17,-0.00019463080006709634,negative,0.00019463080006709634,0.0,1.0
aggregate,xr_mom24_lag_3,17,0.00017534673030076715,positive,0.00017543269378946964,0.9411764705882353,0.058823529411764705
aggregate,carry_annual_lag_3,17,0.003035995054318803,positive,0.003035995054318803,1.0,0.0
aggregate,xz_carry_lag_3,17,-0.0010067019262664356,negative,0.0011539651741315862,0.11764705882352941,0.8823529411764706
aggregate,log_return_lag_2,17,0.000777500732748369,positive,0.000777500732748369,1.0,0.0
aggregate,volatility_lag_2,17,-0.0012107176108163114,negative,0.0012672907938425632,0.058823529411764705,0.9411764705882353
aggregate,sma20_ratio_lag_2,17,-0.002173496837310484,negative,0.002173496837310484,0.0,1.0
aggregate,mom24_lag_2,17,0.000743572997832424,positive,0.0007664939862883847,0.9411764705882353,0.058823529411764705
aggregate,xz_mom24_lag_2,17,0.000238326658587021,positive,0.000238326658587021,1.0,0.0
aggregate,xr_mom24_lag_2,17,-0.00012943151526095868,negative,0.00013833096164108128,0.17647058823529413,0.8235294117647058
aggregate,carry_annual_lag_2,17,-0.0010731386387059583,negative,0.0011813310580207651,0.11764705882352941,0.8823529411764706
aggregate,xz_carry_lag_2,17,-0.0003358139280171257,negative,0.0017734221826239656,0.058823529411764705,0.9411764705882353
aggregate,log_return_lag_1,17,0.0001049139757584017,positive,0.0005267364198618932,0.7647058823529411,0.23529411764705882
aggregate,volatility_lag_1,17,-0.00029296958643738945,negative,0.0004693704957340881,0.5882352941176471,0.4117647058823529
aggregate,sma20_ratio_lag_1,17,0.002418316984359158,positive,0.002423558046472948,0.9411764705882353,0.058823529411764705
aggregate,mom24_lag_1,17,0.0010908255161120428,positive,0.001220447912247941,0.9411764705882353,0.058823529411764705
aggregate,xz_mom24_lag_1,17,0.00019368797434101957,positive,0.00019368797434101957,1.0,0.0
aggregate,xr_mom24_lag_1,17,0.0001558824252566287,positive,0.00016999262918528346,0.9411764705882353,0.058823529411764705
aggregate,carry_annual_lag_1,17,-0.0009214101810992208,negative,0.0012347867995057468,0.058823529411764705,0.9411764705882353
