decision_index,decision_timestamp,target_timestamp,state,score_correlation,score_correlation_status,rank_correlation,rank_correlation_status,score_changed_pairs,original_rank_churn,rank_churn,membership_exit_rate,entries,exits,reversals,bottom_boundary_gap,top_boundary_gap,weight_turnover,traded_notional_jpy,traded_notional_over_equity,spread_jpy,commission_jpy,trading_cost_jpy,overnight_jpy,cost_jpy,cost_ratio,cost_residual_ratio,price_simple_return,carry_simple_return,gross_simple_return,net_simple_return,fold,era,policy
97,2017-08-15T00:00:00+01:00,2017-08-16T00:00:00+01:00,membership_changed,0.9556485903336422,defined,0.9500000000000001,defined,9.0,0.08333333333333333,0.08333333333333333,0.25,1,1,0,0.008017478123554338,0.005765131380507494,1.600000023841858,1488108.1745905485,1.6100877441795132,66.82835671645742,0.0,66.82835671645742,59.15138782793394,125.97974454439137,0.00013630624854379367,2.710505431213761e-20,-0.00504294423463826,1.3339264466077627e-06,-0.005041610308191652,-0.005177916556735385,2017,2009-2018,reversal
98,2017-08-16T00:00:00+01:00,2017-08-17T00:00:00+01:00,membership_changed,0.9182251960917228,defined,0.8499999999999999,defined,9.0,0.1388888888888889,0.1388888888888889,0.25,1,1,0,0.0012047900772196307,0.012656194563167366,1.600000023841858,1476896.4684886942,1.6062741731177357,40.81577087435463,0.0,40.81577087435463,58.8451068775458,99.66087775190041,0.00010839127685567151,-1.3552527156068805e-20,0.012095194752892172,2.1209637111620005e-05,0.012116404390003794,0.012008013113148142,2017,2009-2018,reversal
99,2017-08-17T00:00:00+01:00,2017-08-18T00:00:00+01:00,membership_changed,0.9676337068708964,defined,0.8333333333333333,defined,9.0,0.1388888888888889,0.1388888888888889,0.25,1,1,0,0.0008329958664810531,0.002695247047366842,1.600000023841858,1504241.609253154,1.6166025922297613,49.30589512503744,0.0,49.30589512503744,59.55171969257597,108.85761481761341,0.00011698885419442384,1.3552527156068805e-20,0.007715793665022673,4.530447210319696e-05,0.007761098137125871,0.007644109282931355,2017,2009-2018,reversal
100,2017-08-18T00:00:00+01:00,2017-08-21T00:00:00+01:00,membership_changed,0.9369094625763648,defined,0.9333333333333332,defined,9.0,0.08333333333333333,0.08333333333333333,0.25,1,1,0,0.0069046766904815315,0.0009896633162685487,1.600000023841858,1512723.3158397262,1.6133849582904582,64.4528574273941,0.0,64.4528574273941,180.0208186376776,244.4736760650717,0.0002607417678641444,5.421010862427522e-20,-0.0056322924056749855,0.00011651526248810529,-0.005515777143186881,-0.005776518911051132,2017,2009-2018,reversal
101,2017-08-21T00:00:00+01:00,2017-08-22T00:00:00+01:00,membership_changed,0.9145128709129376,defined,0.8499999999999999,defined,9.0,0.1111111111111111,0.1111111111111111,0.25,1,1,0,0.0029571542301699595,0.0021333556081106174,1.600000023841858,1500271.4567168902,1.6094012477759836,56.247606094002116,0.0,56.247606094002116,59.66030832481138,115.9079144188135,0.00012433905961323102,0.0,-0.0009459983738446974,-2.0860775038541917e-05,-0.0009668591488832395,-0.0010911982084963467,2017,2009-2018,reversal
102,2017-08-22T00:00:00+01:00,2017-08-23T00:00:00+01:00,membership_changed,0.9090329151164785,defined,0.9166666666666666,defined,9.0,0.1111111111111111,0.1111111111111111,0.25,1,1,0,0.004000497490986115,0.0006890216407083203,1.600000023841858,1494025.7956749126,1.6044520523663985,63.507120747725,0.0,63.507120747725,59.59520710324901,123.102327850974,0.0001322010524472587,0.0,-0.0061837076557060815,-1.4879910724990899e-05,-0.0061985875664310715,-0.006330788618878258,2017,2009-2018,reversal
103,2017-08-23T00:00:00+01:00,2017-08-24T00:00:00+01:00,membership_changed,0.9839666132073225,defined,0.9666666666666667,defined,9.0,0.05555555555555555,0.05555555555555555,0.25,1,1,0,0.0029893659315936086,0.0027944010875834875,1.600000023841858,1490787.9072514165,1.611174852941358,63.32055761060065,0.0,63.32055761060065,59.21792244438006,122.53848005498071,0.00013243394088582785,0.0,-0.006793288097693183,1.2953338999561322e-05,-0.00678033475869362,-0.0069127686995794635,2017,2009-2018,reversal
104,2017-08-24T00:00:00+01:00,2017-08-25T00:00:00+01:00,membership_changed,0.950303724792022,defined,0.8833333333333333,defined,9.0,0.1111111111111111,0.1111111111111111,0.5,2,2,0,0.001781675907688622,0.004561793738311534,3.200000047683716,2973818.3100858103,3.2363378073837157,115.13423486532935,0.0,115.13423486532935,58.80856264365243,173.94279750898176,0.00018929793053973226,0.0,-0.0035422575281963188,2.1488003315288648e-05,-0.00352076952488103,-0.0037100674554206847,2017,2009-2018,reversal
105,2017-08-25T00:00:00+01:00,2017-08-28T00:00:00+01:00,membership_retained,0.9839879715504061,defined,1.0,defined,9.0,0.0,0.0,0.0,0,0,0,0.00579449639081471,0.010047099478708146,0.0,5980.038224082789,0.006532172332198992,0.2943643157858949,0.0,0.2943643157858949,175.77113672786444,176.06550104365033,0.0001923215456952175,0.0,-0.00996064353418721,6.401917345438371e-05,-0.009896624360732825,-0.01008894590642806,2017,2009-2018,reversal
106,2017-08-28T00:00:00+01:00,2017-08-29T00:00:00+01:00,membership_changed,0.9628915587907384,defined,0.9666666666666667,defined,9.0,0.05555555555555555,0.05555555555555555,0.25,1,1,0,0.0014281618859295318,0.006669990112386269,1.600000023841858,1459100.3103670063,1.6100621839652312,47.56467556596559,0.0,47.56467556596559,57.999263745835215,105.5639393118008,0.00011648582723800536,-2.710505431213761e-20,0.007849872824293778,4.505728120021868e-05,0.007894930105493997,0.007778444278256025,2017,2009-2018,reversal
