fold,era,policy,state,pair_observations,traded_notional_jpy,spread_jpy,commission_jpy,trading_cost_jpy,overnight_jpy,cost_jpy,cost_share,trading_cost_share_of_total,overnight_share_of_total,share_of_trading_cost,notional_share,mean_price_simple_contribution,mean_carry_simple_contribution,mean_gross_simple_contribution,mean_net_simple_contribution
2012,2009-2018,supervised,entry,405,326322023.8604155,11873.092950899212,0.0,11873.092950899212,9492.601431774687,21365.6943826739,0.38364643781673086,0.21319549624248424,0.1704509415742466,0.3141525225521464,0.31822964302261525,0.0006578212300589352,-5.774405106568167e-06,0.000652046824952367,0.0005996583468054626
2012,2009-2018,supervised,exit,405,326170888.79414237,11874.544919584545,0.0,11874.544919584545,0.0,11874.544919584545,0.21322156806603335,0.21322156806603335,0.0,0.31419094047972856,0.3180822559182472,0.0,0.0,0.0,-2.912186956861467e-05
2012,2009-2018,supervised,reversal,230,368864762.6530215,13895.966322792428,0.0,13895.966322792428,4984.358368973417,18880.324691765843,0.33901867091635945,0.2495185920137356,0.08950007890262389,0.3676761305296019,0.3597173747393271,-0.0008022546734053883,3.299770772392536e-07,-0.0008019246963281489,-0.0008838646455713696
2012,2009-2018,supervised,retained,149,871699.359603578,34.43563775960414,0.0,34.43563775960414,3356.1062292102833,3390.5418669698875,0.06088120920545973,0.0006183328060300598,0.06026287639942967,0.0009111393730857869,0.0008500822983015919,-0.0004303359992936314,-1.6401439906255386e-06,-0.00043197614328425695,-0.00045454493108797254
2012,2009-2018,supervised,inactive,580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,2009-2018,reversal,initial_entry,4,3200000.047683716,92.00000137090683,0.0,92.00000137090683,64.00000095367432,156.00000232458115,0.006228838251297982,0.003673417430252656,0.0025554208210453256,0.011031619160238735,0.014122596193003703,-0.001501478427854266,3.308157838941069e-05,-0.001468396849464855,-0.0015073968500460004
2012,2009-2018,reversal,entry,146,109942130.32776725,4075.4716628329156,0.0,4075.4716628329156,3180.559959744741,7256.031622577657,0.28972209390933945,0.16272726543116617,0.12699482847817326,0.4886853327475603,0.4852088400253382,-0.00021972607715889576,-4.445260464636737e-06,-0.00022417133762353238,-0.00027691563064692664
2012,2009-2018,reversal,exit,146,109846233.23716506,4043.5272422289536,0.0,4043.5272422289536,0.0,4043.5272422289536,0.1614517742388038,0.1614517742388038,0.0,0.4848549123437968,0.4847856163170639,0.0,0.0,0.0,-2.9386386875742904e-05
2012,2009-2018,reversal,reversal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2012,2009-2018,reversal,retained,638,3598873.1780944252,128.66547415991312,0.0,128.66547415991312,13460.574709651253,13589.240183811165,0.5425972936005587,0.005137412917476446,0.5374598806830824,0.015428135748403944,0.015882947464594222,-3.260643254448223e-05,9.205229340717822e-07,-3.168590961041054e-05,-5.439755336980198e-05
2012,2009-2018,reversal,inactive,839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,2009-2018,supervised,initial_entry,4,3200000.047683716,132.00000196695328,0.0,132.00000196695328,64.00000095367432,196.0000029206276,0.0034123480367554354,0.0022981119431210073,0.001114236093634428,0.0033335734385807783,0.002987211340730984,0.0001531672414475339,-1.6438618383723806e-06,0.00015152337960916136,0.00010252337887900454
2013,2009-2018,supervised,entry,411,333016250.6384456,12132.762042034568,0.0,12132.762042034568,9602.442588905025,21735.204630939592,0.3784085803350705,0.21123064345730347,0.16717793687776708,0.30640494452472206,0.3108718455410474,0.00044585030378643234,1.8287348866259862e-06,0.0004476790386730582,0.0003954795245132298
2013,2009-2018,supervised,exit,411,332910034.63647056,12137.8641193259,0.0,12137.8641193259,0.0,12137.8641193259,0.21131947031020665,0.21131947031020665,0.0,0.30653379413901394,0.31077269252825396,0.0,0.0,0.0,-2.9161924500284918e-05
2013,2009-2018,supervised,reversal,247,401194105.139337,15159.300785529587,0.0,15159.300785529587,5585.888019679749,20745.188805209335,0.36117246549350324,0.26392249746565144,0.09724996802785182,0.3828381946444948,0.37451611339010193,5.9789723072791454e-05,1.7552778990317001e-06,6.154500097182318e-05,-2.1185330261468907e-05
2013,2009-2018,supervised,retained,122,912837.6834350176,35.221396298524645,0.0,35.221396298524645,2588.977149270838,2624.1985455693625,0.045687135824464147,0.0006132023506128573,0.04507393347385129,0.0008894932531886169,0.0008521371998658176,-0.0010240563713585988,1.2173602862089881e-05,-0.001011882768496509,-0.0010331530924164822
2013,2009-2018,supervised,inactive,569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,2009-2018,reversal,initial_entry,4,3200000.047683716,120.00000178813934,0.0,120.00000178813934,64.00000095367432,184.00000274181366,0.006067319911800368,0.003956947768565457,0.0021103721432349106,0.010705783314679466,0.010876081307963532,0.0013384902584898568,-1.1431725974178614e-05,0.0013270585325156786,0.001281058531830225
2013,2009-2018,reversal,entry,161,140532135.348448,5349.487356520928,0.0,5349.487356520928,4048.0171364792623,9397.504493000193,0.3098786156629569,0.17639701452443476,0.13348160113852203,0.47725376358445243,0.4776371586424819,0.0009564814551379793,5.439880846126419e-06,0.0009619213359841058,0.0009083809625154847
2013,2009-2018,reversal,exit,161,140347101.10054088,5333.023509156456,0.0,5333.023509156456,0.0,5333.023509156456,0.17585412633176734,0.17585412633176734,0.0,0.47578494375292296,0.4770082688002919,0.0,0.0,0.0,-3.038509021667268e-05
2013,2009-2018,reversal,reversal,3,5225844.891489625,226.6927722711792,0.0,226.6927722711792,52.38163725202979,279.074409523209,0.009202357046429063,0.007475095383515398,0.0017272616629136664,0.020224363856460346,0.017761472842410628,0.00443007946053117,-1.279066027419302e-05,0.004417288800256976,0.004332099291325424
2013,2009-2018,reversal,retained,616,4918541.723284798,179.69142762364115,0.0,179.69142762364115,14953.11145989879,15132.80288752243,0.4989975810470465,0.0059252465247545145,0.493072334522292,0.016031145491484905,0.01671701840685218,-8.636990944932337e-05,1.1015700456136636e-05,-7.535420899318674e-05,-9.799427207685539e-05
2013,2009-2018,reversal,inactive,819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,2009-2018,supervised,initial_entry,4,3200000.047683716,112.00000166893005,0.0,112.00000166893005,64.00000095367432,176.00000262260437,0.0030908452583294365,0.0019669015280278234,0.0011239437303016133,0.002817731653140153,0.0030568210569755353,-0.0003765198712001362,-1.640413807135456e-06,-0.0003781602850072716,-0.00042216028566292266
2014,2009-2018,supervised,entry,386,300199766.4462864,11184.07573172764,0.0,11184.07573172764,7964.930529495587,19149.00626122323,0.33628758137655246,0.1964104939153448,0.1398770874612076,0.2813725333108439,0.2867677980306224,1.715116251938334e-05,-5.656718977352325e-06,1.1494443542030958e-05,-3.955909780594541e-05
2014,2009-2018,supervised,exit,386,300206886.0301899,11190.854020419145,0.0,11190.854020419145,0.0,11190.854020419145,0.19652953164914896,0.19652953164914896,0.0,0.2815430636529472,0.28677459905989394,0.0,0.0,0.0,-2.983349591442352e-05
2014,2009-2018,supervised,reversal,284,442720225.06313634,17239.68830750794,0.0,17239.68830750794,6705.019638130532,23944.707945638474,0.4205078745058754,0.3027568640132208,0.11775101049265452,0.43372155991503897,0.42291140192373633,0.00021679797264415276,-5.274145628911269e-08,0.00021674523118786368,0.00013017574329466275
2014,2009-2018,supervised,retained,118,512302.0831825825,21.667246155624937,0.0,21.667246155624937,2460.1178003809723,2481.7850465365973,0.04358416721009383,0.0003805119547911235,0.04320365525530271,0.000545111468029739,0.0004893799287717178,0.00041360938233661045,-8.608867366659436e-06,0.00040500051496995105,0.0003833895579491862
2014,2009-2018,supervised,inactive,604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,2009-2018,reversal,initial_entry,4,3200000.047683716,92.00000137090683,0.0,92.00000137090683,64.00000095367432,156.00000232458115,0.00582606772717884,0.003435886095515726,0.0023901816316631136,0.01040023011421041,0.01333463348506688,-0.00011909896189639022,-2.6794296676670753e-05,-0.00014589325857306088,-0.000184893259154206
2014,2009-2018,reversal,entry,142,115898462.59852201,4300.539831416692,0.0,4300.539831416692,3166.8782363241444,7467.418067740837,0.27888258180469144,0.1606104868455885,0.11827209495910293,0.4861587303867709,0.48295734287650693,0.0001233578644046028,-2.1044753645931297e-06,0.0001212533890400096,6.976043052622572e-05
2014,2009-2018,reversal,exit,142,115676598.80455205,4241.621025864239,0.0,4241.621025864239,0.0,4241.621025864239,0.1584100705222678,0.1584100705222678,0.0,0.47949819640123864,0.4820328202727222,0.0,0.0,0.0,-2.9227906218940014e-05
2014,2009-2018,reversal,reversal,1,1633172.5323299845,65.32690129319938,0.0,65.32690129319938,16.347498012226332,81.67439930542571,0.003050260095124881,0.002439736831215002,0.0006105232639098794,0.007384943434494716,0.006805549003745318,0.001102266871880681,-6.22884456770957e-05,0.0010399784262035852,0.0009600401746508306
2014,2009-2018,reversal,retained,645,3568369.1434485097,146.47048911352368,0.0,146.47048911352368,14683.024194082773,14829.494683196295,0.553831019850737,0.005470172928798327,0.5483608469219388,0.016557899663285428,0.014869654361958607,-4.383116802055829e-05,5.070301590435916e-06,-3.876086643012237e-05,-6.143909537336436e-05
2014,2009-2018,reversal,inactive,848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,2009-2018,supervised,initial_entry,4,3200000.047683716,152.0000022649765,0.0,152.0000022649765,64.00000095367432,216.00000321865082,0.0040911127164631475,0.0028789311708444375,0.0012121815456187105,0.004210257792967172,0.0033401969991139345,0.0014323223373343514,-1.0125213787709866e-05,0.0014221971235466415,0.0013681971227419787
2015,2009-2018,supervised,entry,415,314010957.1075727,11694.654549384097,0.0,11694.654549384097,8888.475184659299,20583.129734043396,0.3898514006701858,0.22150069087359028,0.16835070979659553,0.32393098499281126,0.32776826280949994,0.0002812227834516974,-5.177284785169759e-07,0.0002807050549731804,0.00022826649997491753
2015,2009-2018,supervised,exit,415,314398590.5633642,11749.103164381118,0.0,11749.103164381118,0.0,11749.103164381118,0.22253196595640884,0.22253196595640884,0.0,0.32543916066512374,0.3281728790865304,0.0,0.0,0.0,-2.993235090016644e-05
2015,2009-2018,supervised,reversal,216,325450646.46211565,12467.118343332371,0.0,12467.118343332371,4467.097367388362,16934.21571072073,0.3207397416903258,0.2361314149631179,0.08460832672720794,0.3453275090703974,0.3397091426480795,-0.0002600811354733354,2.4664068223555283e-06,-0.0002576147286509799,-0.00034093261075108795
2015,2009-2018,supervised,retained,157,967146.2822936185,39.42687298466739,0.0,39.42687298466739,3275.4973050514313,3314.924178036099,0.06278577896661636,0.0007467582362703523,0.062039020730346,0.0010920874787004623,0.0010095184567761723,-0.00039809464650573706,-3.658434470701579e-06,-0.0004017530809764386,-0.0004241372587957977
2015,2009-2018,supervised,inactive,575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,2009-2018,reversal,initial_entry,4,3200000.047683716,112.00000166893005,0.0,112.00000166893005,64.00000095367432,176.00000262260437,0.005969377268613078,0.0037986946254810494,0.0021706826431320283,0.010522766107618636,0.011171314044430544,-0.0014119786239221012,-1.4319396773069247e-05,-0.0014262980206951707,-0.0014702980213508218
2015,2009-2018,reversal,entry,163,139437043.0488147,5196.218113489231,0.0,5196.218113489231,3784.826986446632,8981.045099935864,0.3046093503924784,0.17623969220006339,0.12836965819241497,0.488201669978965,0.48677967941050826,0.0004552024422457843,3.22949734595585e-06,0.00045843193959174016,0.0004069145564109833
2015,2009-2018,reversal,exit,163,138980791.933402,5155.780652062802,0.0,5155.780652062802,0.0,5155.780652062802,0.17486817822595882,0.17486817822595882,0.0,0.4844024383518623,0.48518689053005604,0.0,0.0,0.0,-2.959423827853226e-05
2015,2009-2018,reversal,reversal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2015,2009-2018,reversal,retained,625,4830118.626820459,179.59062015888458,0.0,179.59062015888458,14991.39654286044,15170.987163019323,0.5145530941129497,0.0060911599412378885,0.5084619341717119,0.016873125561554077,0.016862116015005195,2.188444053499029e-05,9.09435189794115e-06,3.0978792432931415e-05,8.203730664708187e-06
2015,2009-2018,reversal,inactive,827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,2009-2018,supervised,initial_entry,4,3200000.047683716,108.00000160932541,0.0,108.00000160932541,64.00000095367432,172.00000256299973,0.0033656883425568127,0.0021133391918379987,0.001252349150718814,0.0031388759731716797,0.00334296598322868,-0.0014167100948064622,-2.838441904438457e-05,-0.0014450945138508467,-0.001488094514491597
2016,2009-2018,supervised,entry,414,313913120.6377838,11574.417673594115,0.0,11574.417673594115,8893.799091449702,20468.216765043817,0.40052114844475756,0.2264876863686708,0.17403346207608675,0.3363950092382331,0.327937771357494,-0.00042477667745330214,-5.997884409332439e-06,-0.0004307745618626345,-0.0004829211004818687
2016,2009-2018,supervised,exit,414,314277445.2863447,11567.77611642273,0.0,11567.77611642273,0.0,11567.77611642273,0.22635772467555998,0.22635772467555998,0.0,0.3362019812389826,0.3283183728852572,0.0,0.0,0.0,-2.948153654429774e-05
2016,2009-2018,supervised,reversal,214,324833223.8613174,11120.699046708232,0.0,11120.699046708232,4349.992058574335,15470.691105282567,0.30272979028168917,0.2176093406096272,0.08512044967206199,0.3232082826151701,0.3393457504405077,0.0004100627379498903,1.9552074736635455e-06,0.0004120179454235539,0.00033590531232279637
2016,2009-2018,supervised,retained,156,1010015.0388881854,36.32889722105575,0.0,36.32889722105575,3388.9471528376935,3425.276050058749,0.06702564825543639,0.0007108822328654706,0.06631476602257093,0.0010558509344424773,0.001055139333512385,7.054597853116296e-05,1.7010888390901454e-06,7.224706737025303e-05,4.902200098795564e-05
2016,2009-2018,supervised,inactive,571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,2009-2018,reversal,initial_entry,4,3200000.047683716,92.00000137090683,0.0,92.00000137090683,64.00000095367432,156.00000232458115,0.0062217436886003626,0.003669233457379701,0.0025525102312206616,0.011997158377532204,0.014911214418572339,-0.0015316708021300776,-1.7208336004323393e-05,-0.001548879138134401,-0.0015878791387155462
